 Transaction_date, Quantity,Subtotal, Taxes, DiscountPrice,TotalAmount, Payment_Method, Products_ProductID, CustomerCart_CustomerID, Cashier_CashierID
2016-11-11,2,261.96,11.46,78.59,273.42,COD,FUR-BO-10001798,1,3
2016-11-11,3,512.36,22.42,153.71,534.77,COD,FUR-CH-10000454,1,3
2016-06-16,2,14.62,0.91,0,15.53,Debitcard,OFF-LA-10000240,2,3
2015-10-18,5,957.58,41.89,287.27,999.47,EMI,FUR-TA-10000577,3,3
2015-10-18,2,27.96,1.57,2.8,29.53,EMI,OFF-ST-10000760,3,3
2014-06-14,7,146.58,8.25,14.66,154.83,netbanking,FUR-FU-10001487,4,1
2014-06-14,4,14.56,0.91,0,15.47,netbanking,OFF-AR-10002833,4,1
2014-06-14,6,1814.3,96.38,272.15,1910.69,netbanking,TEC-PH-10002275,4,1
2014-06-14,3,6.94,0.43,0,7.37,netbanking,OFF-BI-10003910,4,1
2014-06-14,5,114.9,6.46,11.49,121.36,netbanking,OFF-AP-10002892,4,1
2014-06-14,9,1279.64,55.98,383.89,1335.62,netbanking,FUR-TA-10001539,4,1
2014-06-14,4,1139.28,60.52,170.89,1199.8,netbanking,TEC-PH-10002033,4,1
2017-04-20,3,38.88,2.19,3.89,41.07,Credit card,OFF-PA-10002365,5,2
2016-12-10,3,152.99,7.65,30.6,160.64,EMI,OFF-BI-10003656,6,1
2015-11-26,5,68.81,3.87,6.88,72.68,COD,OFF-AP-10002311,7,1
2015-11-26,3,5.09,0.32,0,5.41,COD,OFF-BI-10000756,7,1
2014-11-18,6,1331.76,70.75,199.76,1402.51,Debitcard,OFF-ST-10004186,8,1
2014-05-15,2,111,5.55,22.2,116.55,EMI,OFF-ST-10000107,9,3
2014-09-01,2,13.7,0.86,0,14.55,EMI,OFF-AR-10003056,10,3
2014-09-01,3,640.44,34.02,96.07,674.46,EMI,TEC-PH-10001949,10,3
2014-09-01,4,56.8,3.2,5.68,60,EMI,OFF-BI-10002215,10,3
2016-12-13,7,38.92,2.43,0,41.35,COD,OFF-AR-10000246,11,1
2016-12-13,7,60.34,3.77,0,64.11,COD,OFF-AP-10001492,11,1
2017-07-18,2,81.57,4.59,8.16,86.16,COD,FUR-CH-10002774,12,3
2015-09-30,3,574.55,25.14,172.36,599.68,Cash,FUR-TA-10000577,13,3
2016-01-20,2,8.74,0.55,0,9.28,netbanking,OFF-BI-10001634,14,2
2016-01-20,3,271.71,13.59,54.34,285.3,netbanking,TEC-AC-10003027,14,2
2015-09-21,7,10483.66,622.47,524.18,11106.13,Debitcard,FUR-BO-10004834,15,3
2015-09-21,2,19.24,1.2,0,20.44,Debitcard,OFF-BI-10000474,15,3
2015-09-21,3,58.62,3.3,5.86,61.92,Debitcard,FUR-FU-10004848,15,3
2015-09-21,2,3.26,0.2,0,3.47,Debitcard,OFF-EN-10001509,15,3
2015-09-21,6,215.76,12.14,21.58,227.9,Debitcard,OFF-AR-10004042,15,3
2015-09-21,6,9.14,0.57,0,9.72,Debitcard,OFF-BI-10001525,15,3
2015-09-21,2,15.76,0.99,0,16.75,Debitcard,OFF-AR-10001683,15,3
2017-10-23,3,58.94,3.32,5.89,62.26,COD,OFF-PA-10000249,16,2
2016-12-10,7,1646.32,87.46,246.95,1733.78,Cash,TEC-PH-10004977,17,3
2016-12-10,5,954.6,41.76,286.38,996.36,Cash,FUR-FU-10003664,17,3
2015-12-31,9,566.64,28.33,113.33,594.97,Credit card,OFF-EN-10002986,18,2
2015-12-31,3,1565.88,83.19,234.88,1649.07,Credit card,FUR-BO-10002545,18,2
2015-12-31,3,272.65,13.63,54.53,286.28,Credit card,FUR-CH-10004218,18,2
2015-12-31,4,1484.67,78.87,222.7,1563.55,Credit card,TEC-PH-10000486,18,2
2017-09-15,4,183.96,10.35,18.4,194.31,COD,TEC-PH-10004093,19,1
2016-07-22,2,155.76,7.79,31.15,163.55,netbanking,OFF-ST-10003479,20,2
2017-09-23,2,119.52,5.98,23.9,125.5,Credit card,OFF-ST-10003282,21,2
2016-03-13,2,36.78,2.07,3.68,38.85,Credit card,TEC-AC-10000171,22,3
2016-03-13,2,10.48,0.65,0,11.13,Credit card,OFF-BI-10003291,22,3
2014-10-25,4,339.14,16.96,67.83,356.09,EMI,OFF-ST-10001713,23,2
